chr,start,end
chr8,19954668,19956669
chr1,230709047,230711048
chr3,172397111,172399112
chr17,29613867,29615868
chr17,48926830,48928831
chr22,24261889,24263890
chr5,143136331,143138332
chr20,59137969,59139970
chr5,132330659,132332660
chr10,44257418,44259419
chr2,21062184,21064185
chr9,133277723,133279724
chr2,45668297,45670298
chr11,75562104,75564105
chr1,109277888,109279889
chr18,60170167,60172168
chr3,136349629,136351630
chr3,14885569,14887570
chr2,187330741,187332742
chr20,35175750,35177751
chr9,121656893,121658894
chr9,107754512,107756513
chr11,116777200,116779201
chr11,103788838,103790839
chr7,117691859,117693860
chr16,72095915,72097916
chr19,11051924,11053925
chr12,120977846,120979847
chr2,215438660,215440661
chr13,112976465,112978466
chr6,36669858,36671859
chr5,9555581,9557582
chr2,85581865,85583866
chr6,126394917,126396918
chr5,122076512,122078513
chr16,56960323,56962324
chr2,232767749,232769750
chr17,64308730,64310731
chr4,147471511,147473512
chr1,169124220,169126221
chr7,18996151,18998152
chr17,42104144,42106145
chr19,44891361,44893362
chr7,45037378,45039379
chr14,58326282,58328283
chr10,89245096,89247097
chr2,145042893,145044894
chr17,2213650,2215651
chr1,3408347,3410348
chr10,30045192,30047193
chr2,217817430,217819431
chr1,201902135,201904136
chr21,29159754,29161755
chr14,99666604,99668605
chr8,125477729,125479730
chr2,226234981,226236982
chr6,31919589,31921590
chr12,111445803,111447804
chr4,95195219,95197220
chr6,160539104,160541105
chr20,45956383,45958384
chr16,75352634,75354635
chr7,150992087,150994088
chr20,46006336,46008337
chr5,56563953,56565954
chr6,160721575,160723576
chr3,157133802,157135803
chr6,81901553,81903554
chr10,122477095,122479096
chr13,110307364,110309365
chr1,154448590,154450591
chr16,75297142,75299143
chr10,103932885,103934886
chr9,22097574,22099575
chr20,41294638,41296639
chr15,64731004,64733005
chr2,43845741,43847742
chr1,200675944,200677945
chr2,202880161,202882162
chr6,43790135,43792136
chr8,22175101,22177102
chr8,18428486,18430487
chr11,43674366,43676367
chr15,78848441,78850442
chr16,81871817,81873818
chr17,60935126,60937127
chr12,94960764,94962765
chr16,83011184,83013185
chr3,48151024,48153025
chr3,49410132,49412133
chr3,46646071,46648072
chr4,119987345,119989346
chr4,155713156,155715157
chr4,168765573,168767574
chr7,6445435,6447436
chr11,100752867,100754868
chr15,89029986,89031987
chr19,41347628,41349629
chr13,28398483,28400484
chr6,57294773,57296774
chr6,12900208,12902209
chr6,1615907,1617908
chr13,32483195,32485196
chr3,138402279,138404280
chr18,49702346,49704347
chr21,34225826,34227827
chr8,105552185,105554186
chr7,140056335,140058336
chr7,1896624,1898625
chr3,132538116,132540117
chr11,9728648,9730649
chr12,20066098,20068099
chr4,80258917,80260918
chr6,39206145,39208146
chr7,107603099,107605100
chr11,10722846,10724847
chr12,123941758,123943759
chr12,124821506,124823507
chr4,81664895,81666896
chr12,57132499,57134500
chr1,55029365,55031366
chr7,12221284,12223285
chr7,130022655,130024656
chr11,5678843,5680844
chr2,237314311,237316312
chr1,115209860,115211861
chr12,117826635,117828636
chr12,7067567,7069568
chr6,133892386,133894387
chr10,102958338,102960339
chr3,154121076,154123077
chr4,76494473,76496474
chr11,65622845,65624846
chr12,89644548,89646549
chr17,17639407,17641408
chr19,32390113,32392114
chr2,164099740,164101741
chr4,3446924,3448925
chr2,19741711,19743712
chr6,150675264,150677265
chr4,56971416,56973417
chr1,56496148,56498149
chr1,222649186,222651187
chr15,90872319,90874320
chr2,215425635,215427636
chr15,95602184,95604185
chr17,46934904,46936905
chr6,35066022,35068023
chr10,80490757,80492758
chr3,124733174,124735175
chr1,2319765,2321766
chr15,67162291,67164292
chr1,210294653,210296654
chr1,37994646,37996647
chr10,12260813,12262814
chr19,17743953,17745954
chr17,31705494,31707495
chr14,94370804,94372805
